,UOH OCA ,UOH Seasonality ,UOH Type 1 ,UOH Facility ,OCA Seasonality ,OCA Type 1 ,OCA Facility ,Seasonality Type 1 ,Seasonality Facility ,Type 1 Facility ,UOH OCA Seasonality ,UOH OCA Type 1 ,UOH OCA Facility ,UOH Seasonality Type 1 ,UOH Seasonality Facility ,UOH Type 1 Facility ,OCA Seasonality Type 1 ,OCA Seasonality Facility ,OCA Type 1 Facility ,Seasonality Type 1 Facility ,UOH OCA Seasonality Type 1 ,UOH OCA Seasonality Facility ,UOH OCA Type 1 Facility ,UOH Seasonality Type 1 Facility ,OCA Seasonality Type 1 Facility ,Total Features Weighted
A_oca,0.274694030832236,,,,0.1787244265361541,0.0,0.048793159272717636,,,,0.26708852852529275,0.0,0.19653832230956547,,,,0.0,0.11232379854020398,0.0,,0.0,0.3322215586729086,0.0,,0.0,0.0
C_oca,1.0,,,,1.0,0.36905715198569516,1.0,,,,1.0,0.8484433749045742,1.0,,,,0.8590374116077923,1.0,0.5624200059129082,,0.9216216554245442,1.0,0.8368016809614665,,0.7601301713201165,0.900212010299151
FullUOH2Lines,0.0,0.8468922205933698,0.0,0.2421834465256411,,,,,,,0.0,0.0,0.0,0.0,0.5561232495273345,0.0,,,,,0.0,1.6739693981236416e-05,0.0,0.0,,0.0
FullUOH3Lines,0.0,0.8647884046014553,0.0,0.15742264494339833,,,,,,,0.0,0.0,0.0,0.0,0.5376580618878193,0.0,,,,,0.0,9.425523039916017e-06,0.0,0.0,,0.0
Lines,0.0,0.7202782470923669,0.0,0.2540875993594364,0.0,0.0,0.0,0.0,1.7919006479146995e-30,0.0,0.0,0.0,1.1540881452221225e-12,0.0,0.621848220438932,0.0,0.0,0.0,0.0,0.0,0.0,3.1324344266189e-05,0.0,0.0,0.0,0.0
LooseUOH1Lines,0.0,0.8795832209809678,0.0,0.22419584125904038,,,,,,,0.0,0.0,0.0,0.0,0.5818944081334101,0.0,,,,,0.0,8.551250983702822e-05,0.0,0.0,,0.0
M_oca,0.26743589223069736,,,,0.0876045376861594,0.0,0.0011949165067841445,,,,0.17530388422415513,0.0,0.1768941206739587,,,,0.0,0.21968090129857298,0.0,,0.0,0.25769812941022757,0.0,,0.0,0.14661900616695553
P_oca,0.046060378284394354,,,,0.018596000593908837,0.0,0.0009594593292768348,,,,0.04407788517784648,0.0,0.01564515619703832,,,,0.0,0.005517051103005743,0.0,,0.0,0.07734871767820511,0.0,,0.0,0.0
R_oca,0.4811621406092871,,,,0.3684091549345683,0.1795288300961915,0.4650068003174776,,,,0.3606493905692627,0.384209396828353,0.6072836597548056,,,,0.282556518881434,0.5411690913241308,0.2870328915778428,,0.41998753290144275,0.504479417267255,0.43395883951067865,,0.3410342646895549,0.457886399940206
UOH1perLine,0.0,0.9263756714743159,0.0,0.4526000976834516,,,,,,,0.0,0.0,0.0,0.0,0.5868202600359684,0.0,,,,,0.0,0.0,0.0,0.0,,0.0
UOH2perLine,0.0012734850380357573,0.9780363738119153,0.0,0.6446218178782548,,,,,,,0.000450193834611442,0.0,0.0,0.0,0.6540246919934872,0.0,,,,,0.0,0.0018181940203522181,0.0,0.0,,0.0
UOH3perLine,0.06404797328009262,0.9760424945346683,0.0,0.5323704116818491,,,,,,,0.0745468381081871,0.0,0.03941655602876893,0.0,0.716964989845901,0.0,,,,,0.0,0.07713765437066797,0.0,0.0,,0.0
1,,0.8598284221203965,,,0.00040356599133448877,,,0.0,0.6458669761838138,,0.0,,,0.0,0.4904410221037467,,0.0,0.00020019470252182598,,0.0,0.0,0.0,,0.0,0.0,0.0
2,,1.0,,,0.007070377845911684,,,0.0,0.8890984208195255,,0.010701591065481013,,,0.0,0.6654270311639807,,0.0,0.0007468275756691167,,0.0,0.0,0.01300728445807986,,0.0,0.0,0.0
3,,0.9432063291462562,,,0.0006143933576282856,,,0.0,1.0,,0.0017545886428425963,,,0.0,0.6920432816632243,,0.0,6.399823001660303e-05,,0.0,0.0,6.357615683554287e-05,,0.0,0.0,0.0
4,,0.8384907362187276,,,1.4093875505914464e-34,,,0.0,0.5150853710091176,,0.0,,,0.0,0.463442753526224,,0.0,2.619687285582455e-16,,0.0,0.0,0.0,,0.0,0.0,0.0
A,,,0.8602352135449768,,,0.935762896009684,,0.9127058978642362,,1.0,,0.9016271543938572,,0.7367680250718308,,0.8342400503915945,1.0,,0.9652206520377516,0.8857549458765654,0.8634528804937235,,0.8304126360240045,0.7703524814547675,0.9327588933237659,0.7511143166165738
C,,,1.0,,,0.8441203349948811,,1.0,,0.9491478499983539,,1.0,,1.0,,1.0,0.9740184211143326,,0.8663019811708614,1.0,1.0,,1.0,1.0,0.9391969260779246,1.0
M,,,0.33737985437143153,,,0.327886485583283,,0.1969073241871293,,0.31038257408925674,,0.42380697254241845,,0.49417685851863674,,0.4576860777132811,0.44548415074844805,,0.3555286047064562,0.5129523769136103,0.528622616335481,,0.4725380305352264,0.4629950861356869,0.45242331811075764,0.3656624736139564
P,,,0.8453481786634116,,,1.0,,0.8918212931156643,,0.9964329508347503,,0.8946125429572123,,0.635909469524374,,0.7764010471604986,0.9941653792504445,,1.0,0.8722557237828559,0.8395120093643667,,0.7955400204699088,0.7107549249497074,1.0,0.684170585615946
R,,,0.5375121443783385,,,0.47755204246044225,,0.5333900516852166,,0.44564883623182044,,0.540475976936077,,0.6593690594672684,,0.5791424198886119,0.6307085235346368,,0.48419195772299944,0.5462093299981506,0.6355158531099215,,0.5422644067310687,0.7305136787669249,0.5910439143408287,0.5025665116335161
EUC,,,,0.6331233353271196,,,0.1373937621823843,,0.6205486555750609,0.088024157455438,,,0.006491536456277138,,0.9468603222749747,0.063190128173318,,0.10298704921682815,0.007580624957479341,0.016489568679929706,,0.11353679440278687,0.07627991073595379,0.017781081438710846,0.0,0.08971803555800419
MIL,,,,0.6063390812105792,,,0.4123565341457966,,0.5855477078727525,0.14727556541366377,,,0.32886006622531827,,0.815879125231291,0.2709807779980186,,0.30017804405602405,0.25206750260070915,0.22289336084197223,,0.39044950976668114,0.20537899687763453,0.3876717186373565,0.45232725533505963,0.446288981285728
OLD,,,,1.0,,,0.15309751167934832,,0.9540525129853415,0.0807493036616575,,,0.16468981040296934,,1.0,0.0,,0.07730748120681259,0.03829708742376025,0.04561256781857269,,0.15703568044864227,0.01774569618400109,0.0,0.0,0.0
ShipDate,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
