SKU,Lines,LooseUOH1Lines,UOH1perLine,FullUOH2Lines,UOH2perLine,FullUOH3Lines,UOH3perLine,ShipDate,A,C,M,P,R,1,2,3,4,A_oca,P_oca,C_oca,R_oca,M_oca,EUC,MIL,OLD,36_cluster,36_of,42_cluster,42_of,46_cluster,46_of,50_cluster,50_of,39_cluster,39_of,44_cluster,44_of
AAMB004000,1,0.0,0.0,1.0,2.0,0.0,0.0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9830264928309326,0.0,1.4690540201946916,0.0,0.9999999999477878,0.0,1.0,0.0,0.9912858200158772,0.0,1.0057741786602428
AAMB004002,13,0.0,0.0,1.0,2.8461538461538463,0.0,0.0,13,1,0,0,0,0,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.6153846153846154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.9945926734580939,0.0,1.0,0.0,0.9888888888852053,-2.0,2.4817350411113024,0.0,1.1215875823768588,0.0,0.9288690287831937
AAMB004003,8,0.25,4.5,1.0,2.75,0.0,0.0,8,1,0,0,0,0,0.25,0.5,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.9972871993580947,-2.0,2.893191947706628,0.0,0.9999999999999997,-2.0,4.810211240725879,0.0,1.3703639329732873,0.0,1.8112920562349373
AAMB004005,1,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9830264928309326,-2.0,2.2704055420067157,0.0,0.9999999999477878,0.0,1.5385647967464202,0.0,1.0,0.0,1.0
AAMB004012,288,0.03125,2.111111111111111,0.9826388888888888,10.734982332155477,0.1111111111111111,1.40625,151,1,0,0,0,0,0.4965277777777778,0.1527777777777778,0.08680555555555555,0.2638888888888889,0.8058287795992713,0.19344262295081968,0.0,0.0,0.0007285974499089253,2.0,0.0,286.0,0.0,1.1167568602143376,-2.0,462283279.28309804,0.0,0.9750072896120943,0.0,1.0300000176647068,0.0,1.0050641228612636,0.0,1.0019755339104182
AAMB004013,157,0.03821656050955414,2.5,0.9936305732484076,10.5,0.08280254777070063,2.6153846153846154,81,1,0,0,0,0,0.6687898089171974,0.08280254777070063,0.03821656050955414,0.21019108280254778,0.7737940026075619,0.2255541069100391,0.0,0.0,0.000651890482398957,0.0,0.0,157.0,0.0,1.111537056092097,-2.0,2.0036146319203665,0.0,1.0369556426046609,0.0,1.7093916228130737,0.0,0.9512487015678237,0.0,1.1150961218029163
AAMB004014,135,0.007407407407407408,4.0,1.0,10.762962962962963,0.14814814814814814,1.55,85,1,0,0,0,0,0.05185185185185185,0.2074074074074074,0.1111111111111111,0.6296296296296297,0.7366110623353819,0.2633889376646181,0.0,0.0,0.0,18.0,0.0,117.0,0.0,0.9919100234960698,0.0,0.9999999999998803,0.0,1.0641145832719876,0.0,0.9999999999965846,0.0,1.1329178260530477,0.0,1.0179975906252257
AAMB004015,218,0.0,0.0,1.0,10.79816513761468,0.11009174311926606,1.375,118,1,0,0,0,0,0.1926605504587156,0.11926605504587157,0.0779816513761468,0.6100917431192661,0.7868613138686131,0.21313868613138687,0.0,0.0,0.0,8.0,0.0,210.0,0.0,0.9485088146751753,0.0,0.9999999999999243,0.0,1.1532573701501612,0.0,0.9999999999962208,0.0,1.0360915571983251,0.0,0.9805006946765819
AAMB004018,275,0.0,0.0,1.0,10.709090909090909,0.18181818181818182,1.4,90,1,0,0,0,0,0.014545454545454545,0.05454545454545454,0.13090909090909092,0.8,0.7582768248903071,0.24172317510969285,0.0,0.0,0.0,23.0,0.0,252.0,0.0,0.9692825299824882,0.0,0.9999999999995118,0.0,1.0265678593561753,0.0,0.9999999999941765,0.0,0.9849084132942,0.0,0.9868099179671669
AAMB004020,5,0.0,0.0,1.0,11.0,0.0,0.0,3,1,0,0,0,0,0.8,0.2,0.0,0.0,0.8275862068965517,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0094766502249692,-2.0,19.05228431190212,0.0,1.0933333333338788,0.0,1.0,0.0,1.0025234697101477,0.0,1.0462048374255093
