SKU,Lines,LooseUOH1Lines,LooseUOH1sperLooseUOH1Lines,FullUOH2Lines,FullUOH2sperFullUOH2Lines,FullUOH3Lines,FullUOH3sperFullUOH3Lines,ShipDate,1,2,3,4,A,C,M,P,R
AAMB004000,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0
AAMB004002,2.5649493574615367,0.0,0.0,1.0,2.8461538461538463,0.0,0.0,13,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.6153846153846154,1,0,0,0,0
AAMB004003,2.0794415416798357,0.25,4.5,1.0,2.75,0.0,0.0,8,0.25,0.5,0.25,0.0,1,0,0,0,0
AAMB004005,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0
AAMB004012,5.662960480135946,0.03125,2.111111111111111,0.9826388888888888,10.734982332155477,0.1111111111111111,1.40625,151,0.4965277777777778,0.1527777777777778,0.08680555555555555,0.2638888888888889,1,0,0,0,0
AAMB004013,5.056245805348308,0.03821656050955414,2.5,0.9936305732484076,10.5,0.08280254777070063,2.6153846153846154,81,0.6687898089171974,0.08280254777070063,0.03821656050955414,0.21019108280254778,1,0,0,0,0
AAMB004014,4.90527477843843,0.007407407407407408,4.0,1.0,10.762962962962963,0.14814814814814814,1.55,85,0.05185185185185185,0.2074074074074074,0.1111111111111111,0.6296296296296297,1,0,0,0,0
AAMB004015,5.384495062789089,0.0,0.0,1.0,10.79816513761468,0.11009174311926606,1.375,118,0.1926605504587156,0.11926605504587157,0.0779816513761468,0.6100917431192661,1,0,0,0,0
AAMB004018,5.616771097666572,0.0,0.0,1.0,10.709090909090909,0.18181818181818182,1.4,90,0.014545454545454545,0.05454545454545454,0.13090909090909092,0.8,1,0,0,0,0
AAMB004020,1.6094379124341003,0.0,0.0,1.0,11.0,0.0,0.0,3,0.8,0.2,0.0,0.0,1,0,0,0,0
AAMB004021,1.791759469228055,0.0,0.0,1.0,11.0,0.0,0.0,4,0.5,0.5,0.0,0.0,1,0,0,0,0
AAMB004022,2.995732273553991,0.0,0.0,0.9,10.722222222222221,0.25,1.4,11,0.8,0.2,0.0,0.0,1,0,0,0,0
AAMB004023,1.791759469228055,0.0,0.0,0.8333333333333334,7.8,0.16666666666666666,1.0,5,0.8333333333333334,0.16666666666666666,0.0,0.0,1,0,0,0,0
AAMB004025,2.302585092994046,0.0,0.0,1.0,10.1,0.1,3.0,8,0.5,0.5,0.0,0.0,1,0,0,0,0
AAMB004026,4.897839799950911,0.022388059701492536,3.0,1.0,10.828358208955224,0.05970149253731343,2.625,70,0.4253731343283582,0.19402985074626866,0.05970149253731343,0.3208955223880597,1,0,0,0,0
AAOF003006,3.4965075614664802,0.0,0.0,0.9696969696969697,1.96875,0.030303030303030304,1.0,17,0.0,1.0,0.0,0.0,1,0,0,0,0
AAOF003007,0.6931471805599453,0.5,4.0,0.0,0.0,0.5,1.0,2,0.0,0.5,0.5,0.0,1,0,0,0,0
AAOF003008,2.1972245773362196,0.5555555555555556,4.0,0.5555555555555556,2.6,0.1111111111111111,1.0,5,0.0,0.0,1.0,0.0,1,0,0,0,0
AAOF003009,0.6931471805599453,0.5,3.0,0.0,0.0,0.5,1.0,2,0.0,0.5,0.5,0.0,1,0,0,0,0
AAOF003010,3.1354942159291497,0.08695652173913043,4.5,0.9565217391304348,1.5454545454545454,0.0,0.0,14,0.0,0.391304347826087,0.6086956521739131,0.0,1,0,0,0,0
AAOG003004,4.663439094112067,0.9716981132075472,2.4466019417475726,0.9716981132075472,3.796116504854369,0.0660377358490566,1.4285714285714286,47,0.0,0.5471698113207547,0.4528301886792453,0.0,1,0,0,0,0
